terminology,code,description,phenotype,subphenotype
snomed,251859005,Dialysis finding​,renal_replacement_therapy,dialysis


snomed,243779008,Venous port blood sampling during haemodialysis,renal_replacement_therapy,dialysis


snomed,243778000,Arterial port blood sampling during haemodialysis,renal_replacement_therapy,dialysis


snomed,238323009,Night-time intermittent peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,238322004,Tidal peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,238321006,Intermittent peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,238319001,Continuous cycling peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,238318009,Continuous ambulatory peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,236614007,Perirenal and periureteric post-transplant lymphocele (disorder),renal_replacement_therapy,transplant


snomed,236610003,Escape of urine from transplanted ureter (disorder),renal_replacement_therapy,transplant


opcs4,X401,Renal dialysis,renal_replacement_therapy,dialysis


opcs4,X402,Peritoneal dialysis,renal_replacement_therapy,dialysis


opcs4,X405,Automated peritoneal dialysis,renal_replacement_therapy,dialysis


opcs4,X406,Continuous ambulatory peritoneal dialysis,renal_replacement_therapy,dialysis


snomed,236589004,Transplant glomerulopathy - later form (disorder),renal_replacement_therapy,transplant


snomed,236588007,Transplant glomerulopathy  - early form (disorder),renal_replacement_therapy,transplant


snomed,236584009,Perfusion injury of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236583003,Failed renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236582008,Acute-on-chronic rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236581001,Chronic rejection of renal transplant -  grade II (disorder),renal_replacement_therapy,transplant


snomed,236580000,Chronic rejection of renal transplant -  grade II (disorder),renal_replacement_therapy,transplant


snomed,236579003,Chronic rejection of renal transplant -  grade I (disorder),renal_replacement_therapy,transplant


snomed,236578006,Chronic rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236577001,Acute rejection of renal transplant -  grade II (disorder),renal_replacement_therapy,transplant


snomed,236576005,Acute rejection of renal transplant -  grade II (disorder),renal_replacement_therapy,transplant


snomed,236575009,Acute rejection of renal transplant -  grade I (disorder),renal_replacement_therapy,transplant


snomed,236574008,Acute rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236573002,Very mild acute rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236572007,Accelerated rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236571000,Hyperacute rejection of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236570004,Renal transplant rejection (disorder),renal_replacement_therapy,transplant


snomed,236569000,Primary non-function of renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236551009,Underdialysis,renal_replacement_therapy,dialysis


snomed,236542001,Long-term disorder of dialysis (disorder),renal_replacement_therapy,dialysis


snomed,236539007,Haemodialysis first use syndrome,renal_replacement_therapy,dialysis


snomed,236436003,End stage renal failure with renal transplant (disorder),renal_replacement_therapy,transplant


snomed,236435004,End stage renal failure on dialysis (disorder),renal_replacement_therapy,dialysis


snomed,236138007,Xenograft renal transplant (procedure),renal_replacement_therapy,transplant


snomed,234046009,Transplant renal vein thrombosis (disorder),renal_replacement_therapy,transplant


snomed,225282005,Washing back through haemodialysis lines,renal_replacement_therapy,dialysis


snomed,216933008,Failure of sterile precautions during kidney dialysis​,renal_replacement_therapy,dialysis


